Source,Destination,Source port,Destination port,Version
192.168.1.5,163.70.138.60,64332.0,443.0,4
163.70.138.60,192.168.1.5,443.0,64332.0,4
192.168.1.5,44.237.65.144,64396.0,443.0,4
44.237.65.144,192.168.1.5,443.0,64396.0,4
192.168.1.5,20.198.119.143,63477.0,443.0,4
20.198.119.143,192.168.1.5,443.0,63477.0,4
44.229.164.15,192.168.1.5,443.0,64394.0,4
192.168.1.5,44.229.164.15,64394.0,443.0,4
44.229.164.15,192.168.1.5,443.0,64395.0,4
192.168.1.5,44.229.164.15,64395.0,443.0,4
192.168.1.5,20.198.119.143,63531.0,443.0,4
20.198.119.143,192.168.1.5,443.0,63531.0,4
192.168.1.5,44.237.65.144,64397.0,443.0,4
44.237.65.144,192.168.1.5,443.0,64397.0,4
192.168.1.5,224.0.0.251,5353.0,5353.0,4
192.168.1.5,192.168.1.1,57706.0,53.0,4
192.168.1.1,192.168.1.5,53.0,57706.0,4
192.168.1.5,131.253.33.203,64398.0,443.0,4
131.253.33.203,192.168.1.5,443.0,64398.0,4
192.168.1.5,20.212.88.117,63610.0,443.0,4
192.168.1.5,20.210.223.40,63751.0,443.0,4
20.212.88.117,192.168.1.5,443.0,63610.0,4
20.210.223.40,192.168.1.5,443.0,63751.0,4
20.88.154.142,192.168.1.5,443.0,64329.0,4
192.168.1.5,20.88.154.142,64329.0,443.0,4
192.168.1.5,23.60.169.33,64399.0,443.0,4
23.60.169.33,192.168.1.5,443.0,64399.0,4
192.168.1.5,23.60.169.33,64400.0,443.0,4
23.60.169.33,192.168.1.5,443.0,64400.0,4
192.168.1.5,143.204.98.48,64393.0,443.0,4
143.204.98.48,192.168.1.5,443.0,64393.0,4
192.168.1.5,192.168.1.1,64565.0,53.0,4
192.168.1.5,192.168.1.1,55275.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64565.0,4
192.168.1.1,192.168.1.5,53.0,55275.0,4
192.168.1.5,142.250.182.67,55804.0,443.0,4
142.250.182.67,192.168.1.5,443.0,55804.0,4
192.168.1.5,44.229.164.15,64401.0,443.0,4
192.168.1.5,44.229.164.15,64402.0,443.0,4
44.229.164.15,192.168.1.5,443.0,64401.0,4
44.229.164.15,192.168.1.5,443.0,64402.0,4
192.168.1.5,192.168.1.1,137.0,137.0,4
192.168.1.1,192.168.1.5,137.0,137.0,"4,4"
192.168.1.5,239.255.255.250,51054.0,1900.0,4
192.168.1.5,192.168.1.1,65023.0,53.0,4
192.168.1.1,192.168.1.5,53.0,65023.0,4
192.168.1.5,192.168.1.1,60051.0,53.0,4
192.168.1.5,192.168.1.1,62883.0,53.0,4
192.168.1.1,192.168.1.5,53.0,60051.0,4
192.168.1.5,142.250.195.99,55471.0,443.0,4
192.168.1.1,192.168.1.5,53.0,62883.0,4
142.250.195.99,192.168.1.5,443.0,55471.0,4
192.168.1.5,192.168.1.1,54931.0,53.0,4
192.168.1.5,192.168.1.1,53061.0,53.0,4
192.168.1.1,192.168.1.5,53.0,54931.0,4
192.168.1.1,192.168.1.5,53.0,53061.0,4
192.168.1.5,104.18.32.115,64234.0,443.0,4
104.18.32.115,192.168.1.5,443.0,64234.0,4
0.0.0.0,224.0.0.1,,,4
192.168.1.5,224.0.0.251,,,4
192.168.1.5,239.255.255.250,,,4
192.168.1.5,224.0.0.252,,,4
192.168.1.5,192.168.1.1,53908.0,53.0,4
192.168.1.5,192.168.1.1,65525.0,53.0,4
192.168.1.1,192.168.1.5,53.0,53908.0,4
192.168.1.1,192.168.1.5,53.0,65525.0,4
192.168.1.5,100.22.20.169,64403.0,443.0,4
192.168.1.5,100.22.20.169,64404.0,443.0,4
100.22.20.169,192.168.1.5,443.0,64403.0,4
100.22.20.169,192.168.1.5,443.0,64404.0,4
192.168.1.5,44.229.164.15,64405.0,443.0,4
192.168.1.5,44.229.164.15,64406.0,443.0,4
44.229.164.15,192.168.1.5,443.0,64405.0,4
44.229.164.15,192.168.1.5,443.0,64406.0,4
192.168.1.1,192.168.1.5,64405.0,443.0,"4,4"
192.168.1.5,20.198.119.143,63844.0,443.0,4
20.198.119.143,192.168.1.5,443.0,63844.0,4
192.168.1.5,117.239.141.112,64374.0,443.0,4
192.168.1.5,52.98.87.66,64407.0,443.0,4
192.168.1.5,117.239.141.112,64408.0,443.0,4
192.168.1.5,117.239.141.112,64409.0,443.0,4
117.239.141.112,192.168.1.5,443.0,64408.0,4
117.239.141.112,192.168.1.5,443.0,64409.0,4
52.98.87.66,192.168.1.5,443.0,64407.0,4
192.168.1.1,192.168.1.5,64408.0,443.0,"4,4"
192.168.1.5,20.42.65.84,64410.0,443.0,4
20.42.65.84,192.168.1.5,443.0,64410.0,4
192.168.1.5,20.42.65.84,64411.0,443.0,4
20.42.65.84,192.168.1.5,443.0,64411.0,4
192.168.1.5,13.107.6.254,64412.0,443.0,4
13.107.6.254,192.168.1.5,443.0,64412.0,4
192.168.1.5,192.168.1.1,64835.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64835.0,4
192.168.1.5,13.107.237.254,64413.0,443.0,4
13.107.237.254,192.168.1.5,443.0,64413.0,4
192.168.1.5,204.79.197.222,64414.0,443.0,4
204.79.197.222,192.168.1.5,443.0,64414.0,4
